Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA,""Live Animals"",""63"",""Estonia"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""248236"","""",""Official data"""
"QA,""Live Animals"",""63"",""Estonia"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""2054"","""",""Official data"""
"QA,""Live Animals"",""63"",""Estonia"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""9"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""63"",""Estonia"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""5100"","""",""Official data"""
"QA,""Live Animals"",""63"",""Estonia"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""265914"","""",""Official data"""
"QA,""Live Animals"",""63"",""Estonia"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""85520"","""",""Official data"""
"QA,""Live Animals"",""63"",""Estonia"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""10"",""F"",""FAO estimate"""
"QA,""Live Animals"",""64"",""Faroe Islands"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""1841"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""64"",""Faroe Islands"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""70663"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""67"",""Finland"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""893178"","""",""Official data"""
"QA,""Live Animals"",""67"",""Finland"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""8047"","""",""Official data"""
"QA,""Live Animals"",""67"",""Finland"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"","""",""M"",""Data not available"""
"QA,""Live Animals"",""67"",""Finland"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""5278"","""",""Official data"""
"QA,""Live Animals"",""67"",""Finland"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""1135598"","""",""Official data"""
"QA,""Live Animals"",""67"",""Finland"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""155926"","""",""Official data"""
"QA,""Live Animals"",""67"",""Finland"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""292"","""",""Official data"""
"QA,""Live Animals"",""68"",""France"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""19233244"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""68"",""France"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""166000"",""F"",""FAO estimate"""
"QA,""Live Animals"",""68"",""France"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""23731"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""68"",""France"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""1223816"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""68"",""France"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""12301293"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""68"",""France"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""6935185"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""68"",""France"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""19824"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""79"",""Germany"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""12281195"","""",""Official data"""
"QA,""Live Animals"",""79"",""Germany"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""160000"",""F"",""FAO estimate"""
"QA,""Live Animals"",""79"",""Germany"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""2417"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""79"",""Germany"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""140000"","""",""Official data"""
"QA,""Live Animals"",""79"",""Germany"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""27577568"","""",""Official data"""
"QA,""Live Animals"",""79"",""Germany"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""1579793"","""",""Official data"""
"QA,""Live Animals"",""79"",""Germany"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""12875"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""84"",""Greece"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""556000"","""",""Official data"""
"QA,""Live Animals"",""84"",""Greece"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""31133"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""84"",""Greece"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""35"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""84"",""Greece"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""6300000"",""F"",""FAO estimate"""
"QA,""Live Animals"",""84"",""Greece"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""744000"","""",""Official data"""
"QA,""Live Animals"",""84"",""Greece"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""8593000"","""",""Official data"""
"QA,""Live Animals"",""84"",""Greece"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""200"",""F"",""FAO estimate"""
"QA,""Live Animals"",""97"",""Hungary"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""852000"","""",""Official data"""
"QA,""Live Animals"",""97"",""Hungary"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""32027"","""",""Official data"""
"QA,""Live Animals"",""97"",""Hungary"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""4033"","""",""Official data"""
"QA,""Live Animals"",""97"",""Hungary"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""81000"","""",""Official data"""
"QA,""Live Animals"",""97"",""Hungary"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""2907000"","""",""Official data"""
"QA,""Live Animals"",""97"",""Hungary"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""1141000"","""",""Official data"""
"QA,""Live Animals"",""97"",""Hungary"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""2868"","""",""Official data"""
"QA,""Live Animals"",""99"",""Iceland"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""80895"","""",""Official data"""
"QA,""Live Animals"",""99"",""Iceland"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""230"","""",""Official data"""
"QA,""Live Animals"",""99"",""Iceland"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""1300"","""",""Official data"""
"QA,""Live Animals"",""99"",""Iceland"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""28700"","""",""Official data"""
"QA,""Live Animals"",""99"",""Iceland"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""458634"","""",""Official data"""
"QA,""Live Animals"",""104"",""Ireland"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""7363500"","""",""Official data"""
"QA,""Live Animals"",""104"",""Ireland"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""15379"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""104"",""Ireland"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""270"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""104"",""Ireland"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""8300"","""",""Official data"""
"QA,""Live Animals"",""104"",""Ireland"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""1556900"","""",""Official data"""
"QA,""Live Animals"",""104"",""Ireland"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""5197100"","""",""Official data"""
"QA,""Live Animals"",""104"",""Ireland"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""1861"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""106"",""Italy"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""5949393"","""",""Official data"""
"QA,""Live Animals"",""106"",""Italy"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""148349"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""106"",""Italy"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""992177"","""",""Official data"""
"QA,""Live Animals"",""106"",""Italy"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""8570807"","""",""Official data"""
"QA,""Live Animals"",""106"",""Italy"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""7215433"","""",""Official data"""
"QA,""Live Animals"",""106"",""Italy"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""25088"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""119"",""Latvia"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""412314"","""",""Official data"""
"QA,""Live Animals"",""119"",""Latvia"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""2171"","""",""Official data"""
"QA,""Live Animals"",""119"",""Latvia"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""13159"","""",""Official data"""
"QA,""Live Animals"",""119"",""Latvia"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""336386"","""",""Official data"""
"QA,""Live Animals"",""119"",""Latvia"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""106629"","""",""Official data"""
"QA,""Live Animals"",""119"",""Latvia"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""18"","""",""Official data"""
"QA,""Live Animals"",""125"",""Liechtenstein"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""5785"","""",""Official data"""
"QA,""Live Animals"",""125"",""Liechtenstein"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""12"","""",""Official data"""
"QA,""Live Animals"",""125"",""Liechtenstein"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""361"","""",""Official data"""
"QA,""Live Animals"",""125"",""Liechtenstein"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""1875"","""",""Official data"""
"QA,""Live Animals"",""125"",""Liechtenstein"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""4123"","""",""Official data"""
"QA,""Live Animals"",""126"",""Lithuania"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""694752"","""",""Official data"""
"QA,""Live Animals"",""126"",""Lithuania"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""9917"","""",""Official data"""
"QA,""Live Animals"",""126"",""Lithuania"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""16"","""",""Official data"""
"QA,""Live Animals"",""126"",""Lithuania"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""13409"","""",""Official data"""
"QA,""Live Animals"",""126"",""Lithuania"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""663915"","""",""Official data"""
"QA,""Live Animals"",""126"",""Lithuania"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""163565"","""",""Official data"""
"QA,""Live Animals"",""126"",""Lithuania"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""146"","""",""Official data"""
"QA,""Live Animals"",""256"",""Luxembourg"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""202130"","""",""Official data"""
"QA,""Live Animals"",""256"",""Luxembourg"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""123"","""",""Official data"""
"QA,""Live Animals"",""256"",""Luxembourg"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""5406"","""",""Official data"""
"QA,""Live Animals"",""256"",""Luxembourg"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""96761"","""",""Official data"""
"QA,""Live Animals"",""256"",""Luxembourg"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""8478"","""",""Official data"""
"QA,""Live Animals"",""134"",""Malta"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""14184"","""",""Official data"""
"QA,""Live Animals"",""134"",""Malta"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""956"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""134"",""Malta"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"","""",""M"",""Data not available"""
"QA,""Live Animals"",""134"",""Malta"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""5160"","""",""Official data"""
"QA,""Live Animals"",""134"",""Malta"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""34011"","""",""Official data"""
"QA,""Live Animals"",""134"",""Malta"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""11739"","""",""Official data"""
"QA,""Live Animals"",""134"",""Malta"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""13"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""273"",""Montenegro"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""87000"","""",""Official data"""
"QA,""Live Animals"",""273"",""Montenegro"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""824"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""273"",""Montenegro"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""29000"","""",""Official data"""
"QA,""Live Animals"",""273"",""Montenegro"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""25000"","""",""Official data"""
"QA,""Live Animals"",""273"",""Montenegro"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""189000"","""",""Official data"""
"QA,""Live Animals"",""150"",""Netherlands"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""4030000"","""",""Official data"""
"QA,""Live Animals"",""150"",""Netherlands"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""105184"","""",""Official data"""
"QA,""Live Animals"",""150"",""Netherlands"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""1009"","""",""Official data"""
"QA,""Live Animals"",""150"",""Netherlands"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""532870"","""",""Official data"""
"QA,""Live Animals"",""150"",""Netherlands"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""12409000"","""",""Official data"""
"QA,""Live Animals"",""150"",""Netherlands"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""798830"","""",""Official data"""
"QA,""Live Animals"",""150"",""Netherlands"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""671"","""",""Official data"""
"QA,""Live Animals"",""162"",""Norway"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""861012"","""",""Official data"""
"QA,""Live Animals"",""162"",""Norway"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""14480"","""",""Official data"""
"QA,""Live Animals"",""162"",""Norway"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""121"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""162"",""Norway"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""62371"","""",""Official data"""
"QA,""Live Animals"",""162"",""Norway"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""811047"","""",""Official data"""
"QA,""Live Animals"",""162"",""Norway"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""2393348"","""",""Official data"""
"QA,""Live Animals"",""162"",""Norway"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""638"","""",""Official data"""
"QA,""Live Animals"",""173"",""Poland"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""6143083"","""",""Official data"""
